facility_id,report_month,rule_id,description,observed
LAG003,2024-03-31,R1,hts_tst_pos must be less than or equal to hts_tst,3407.0 > 3384.0
FCT005,2023-02-28,R1,hts_tst_pos must be less than or equal to hts_tst,443.0 > 403.0
RIV014,2023-06-30,R1,hts_tst_pos must be less than or equal to hts_tst,1085.0 > 1064.0
BEN012,2024-08-01,R1,hts_tst_pos must be less than or equal to hts_tst,615.0 > 572.0
NAS999,2024-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,693.0 > 646.0
KAD015,2024-01-31,R1,hts_tst_pos must be less than or equal to hts_tst,322.0 > 263.0
RIV011,2022-12-31,R1,hts_tst_pos must be less than or equal to hts_tst,358.0 > 309.0
KAD013,2022-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,2410.0 > 2338.0
NAS015,2023-08-31,R1,hts_tst_pos must be less than or equal to hts_tst,59.0 > -35.0
CRS013,2024-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,308.0 > 254.0
NAS014,2023-02-28,R1,hts_tst_pos must be less than or equal to hts_tst,2625.0 > 2554.0
NAS014,2023-11-30,R1,hts_tst_pos must be less than or equal to hts_tst,1465.0 > 1461.0
CRS001,2023-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,234.0 > 196.0
FCT002,2024-12-31,R1,hts_tst_pos must be less than or equal to hts_tst,110.0 > 99.0
BEN002,2023-07-31,R1,hts_tst_pos must be less than or equal to hts_tst,2720.0 > 2673.0
LAG012,2022-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,282.0 > 249.0
NAS001,2024-11-30,R1,hts_tst_pos must be less than or equal to hts_tst,226.0 > 175.0
BEN010,2024-02-29,R1,hts_tst_pos must be less than or equal to hts_tst,334.0 > 324.0
AKS006,2023-08-31,R1,hts_tst_pos must be less than or equal to hts_tst,589.0 > 522.0
FCT005,2022-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,607.0 > 573.0
FCT005,2023-05-01,R1,hts_tst_pos must be less than or equal to hts_tst,682.0 > 617.0
FCT010,2023-12-31,R1,hts_tst_pos must be less than or equal to hts_tst,423.0 > 390.0
FCT001,2023-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,11.0 > -6.0
NAS007,2024-11-30,R1,hts_tst_pos must be less than or equal to hts_tst,778.0 > 770.0
NAS999,2024-03-31,R1,hts_tst_pos must be less than or equal to hts_tst,444.0 > 415.0
BEN007,2023-07-31,R1,hts_tst_pos must be less than or equal to hts_tst,363.0 > 337.0
AKS001,2023-09-30,R1,hts_tst_pos must be less than or equal to hts_tst,3.0 > -24.0
KAD014,2024-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,249.0 > 237.0
CRS014,2022-07-31,R1,hts_tst_pos must be less than or equal to hts_tst,419.0 > 376.0
AKS009,2023-11-30,R1,hts_tst_pos must be less than or equal to hts_tst,82.0 > 62.0
FCT008,2022-12-31,R1,hts_tst_pos must be less than or equal to hts_tst,623.0 > 592.0
NAS999,2024-01-31,R1,hts_tst_pos must be less than or equal to hts_tst,10.0 > -24.0
FCT013,2023-09-30,R1,hts_tst_pos must be less than or equal to hts_tst,978.0 > 902.0
NAS002,2023-02-28,R1,hts_tst_pos must be less than or equal to hts_tst,480.0 > 468.0
KAD015,2022-09-30,R1,hts_tst_pos must be less than or equal to hts_tst,297.0 > 278.0
LAG006,2022-07-31,R1,hts_tst_pos must be less than or equal to hts_tst,926.0 > 909.0
AKS004,2024-07-31,R1,hts_tst_pos must be less than or equal to hts_tst,296.0 > 293.0
LAG009,2023-02-01,R1,hts_tst_pos must be less than or equal to hts_tst,411.0 > 370.0
RIV004,2022-06-30,R1,hts_tst_pos must be less than or equal to hts_tst,642.0 > 564.0
LAG004,2024-08-31,R1,hts_tst_pos must be less than or equal to hts_tst,622.0 > 593.0
CRS007,2024-01-01,R1,hts_tst_pos must be less than or equal to hts_tst,154.0 > 100.0
BEN002,2024-01-31,R1,hts_tst_pos must be less than or equal to hts_tst,2038.0 > 2021.0
BEN003,2023-04-30,R1,hts_tst_pos must be less than or equal to hts_tst,22.0 > -35.0
KAD004,2022-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,3722.0 > 3708.0
KAD006,2023-09-30,R1,hts_tst_pos must be less than or equal to hts_tst,1716.0 > 1686.0
CRS009,2024-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,663.0 > 605.0
AKS014,2024-05-31,R1,hts_tst_pos must be less than or equal to hts_tst,332.0 > 275.0
NAS003,2023-10-31,R1,hts_tst_pos must be less than or equal to hts_tst,359.0 > 315.0
RIV004,2022-12-01,R1,hts_tst_pos must be less than or equal to hts_tst,391.0 > 329.0
LAG008,2024-08-31,R1,hts_tst_pos must be less than or equal to hts_tst,143.0 > 116.0
NAS003,2024-03-01,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=96, pmtct_stat=72.0, pmtct_art=0"
AKS015,2024-11-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=191, pmtct_stat=188.0, pmtct_art=4"
KAD006,2022-12-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=259, pmtct_stat=194.0, pmtct_art=2"
FCT015,2022-04-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=38, pmtct_stat=21.0, pmtct_art=0"
RIV006,2024-05-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=559, pmtct_stat=522.0, pmtct_art=15"
KAD007,2022-11-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=98, pmtct_stat=36.0, pmtct_art=1"
FCT005,2023-10-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=121, pmtct_stat=54.0, pmtct_art=0"
NAS001,2024-04-01,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=109, pmtct_stat=31.0, pmtct_art=0"
LAG099,2024-02-01,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=100, pmtct_stat=78.0, pmtct_art=1"
AKS010,2022-05-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=131, pmtct_stat=90.0, pmtct_art=1"
AKS012,2024-02-01,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=124, pmtct_stat=119.0, pmtct_art=1"
CRS008,2023-12-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=138, pmtct_stat=111.0, pmtct_art=3"
CRS004,2023-09-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=103, pmtct_stat=26.0, pmtct_art=0"
NAS999,2024-02-29,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=212, pmtct_stat=205.0, pmtct_art=4"
NAS003,2022-04-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=81, pmtct_stat=57.0, pmtct_art=0"
CRS005,2022-07-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=257, pmtct_stat=188.0, pmtct_art=5"
LAG013,2022-05-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=348, pmtct_stat=322.0, pmtct_art=3"
BEN005,2024-07-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=279, pmtct_stat=259.0, pmtct_art=2"
CRS002,2023-04-30,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=101, pmtct_stat=53.0, pmtct_art=0"
BEN004,2022-10-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=218, pmtct_stat=202.0, pmtct_art=0"
LAG099,2022-12-31,R2,PMTCT cascade relationship is invalid,"pmtct_stat_pos=76, pmtct_stat=51.0, pmtct_art=0"
AKS004,2022-02-28,R3,Viral load cascade relationship is invalid,"vl_eligible=754.0, vl_result_received=606.0, vl_suppressed=631.0"
FCT004,2024-03-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1101.0, vl_result_received=739.0, vl_suppressed=774.0"
NAS006,2023-11-01,R3,Viral load cascade relationship is invalid,"vl_eligible=698.0, vl_result_received=575.0, vl_suppressed=653.0"
BEN013,2022-05-31,R3,Viral load cascade relationship is invalid,"vl_eligible=278.0, vl_result_received=261.0, vl_suppressed=316.0"
FCT004,2022-06-30,R3,Viral load cascade relationship is invalid,"vl_eligible=1184.0, vl_result_received=1042.0, vl_suppressed=1061.0"
AKS006,2023-12-31,R3,Viral load cascade relationship is invalid,"vl_eligible=296.0, vl_result_received=198.0, vl_suppressed=254.0"
RIV004,2024-11-30,R3,Viral load cascade relationship is invalid,"vl_eligible=727.0, vl_result_received=579.0, vl_suppressed=644.0"
CRS013,2022-10-31,R3,Viral load cascade relationship is invalid,
NAS003,2024-07-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1192.0, vl_result_received=1234.0, vl_suppressed=766.0"
BEN009,2023-02-28,R3,Viral load cascade relationship is invalid,"vl_eligible=353.0, vl_result_received=405.0, vl_suppressed=254.0"
FCT008,2022-10-31,R3,Viral load cascade relationship is invalid,"vl_eligible=3624.0, vl_result_received=3692.0, vl_suppressed=2441.0"
AKS012,2024-01-31,R3,Viral load cascade relationship is invalid,"vl_eligible=926.0, vl_result_received=940.0, vl_suppressed=630.0"
LAG014,2022-05-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1474.0, vl_result_received=839.0, vl_suppressed=914.0"
KAD006,2022-07-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1169.0, vl_result_received=651.0, vl_suppressed=685.0"
CRS008,2023-01-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1790.0, vl_result_received=1822.0, vl_suppressed=1168.0"
BEN011,2024-03-31,R3,Viral load cascade relationship is invalid,"vl_eligible=276.0, vl_result_received=314.0, vl_suppressed=147.0"
CRS009,2023-12-31,R3,Viral load cascade relationship is invalid,"vl_eligible=655.0, vl_result_received=667.0, vl_suppressed=408.0"
BEN004,2023-09-30,R3,Viral load cascade relationship is invalid,"vl_eligible=340.0, vl_result_received=261.0, vl_suppressed=291.0"
KAD002,2024-04-30,R3,Viral load cascade relationship is invalid,"vl_eligible=3354.0, vl_result_received=3418.0, vl_suppressed=2043.0"
CRS008,2024-03-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1561.0, vl_result_received=1594.0, vl_suppressed=1396.0"
KAD009,2022-03-31,R3,Viral load cascade relationship is invalid,"vl_eligible=535.0, vl_result_received=560.0, vl_suppressed=355.0"
LAG004,2024-01-31,R3,Viral load cascade relationship is invalid,"vl_eligible=425.0, vl_result_received=493.0, vl_suppressed=239.0"
KAD013,2024-12-31,R3,Viral load cascade relationship is invalid,
NAS003,2024-10-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1289.0, vl_result_received=1340.0, vl_suppressed=941.0"
RIV002,2022-08-01,R3,Viral load cascade relationship is invalid,"vl_eligible=4529.0, vl_result_received=4601.0, vl_suppressed=3280.0"
RIV011,2022-07-01,R3,Viral load cascade relationship is invalid,"vl_eligible=614.0, vl_result_received=623.0, vl_suppressed=408.0"
XXX999,2023-10-31,R3,Viral load cascade relationship is invalid,"vl_eligible=269.0, vl_result_received=232.0, vl_suppressed=247.0"
LAG015,2023-08-31,R3,Viral load cascade relationship is invalid,"vl_eligible=864.0, vl_result_received=620.0, vl_suppressed=695.0"
CRS006,2022-03-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1009.0, vl_result_received=1019.0, vl_suppressed=605.0"
RIV012,2024-04-30,R3,Viral load cascade relationship is invalid,"vl_eligible=756.0, vl_result_received=696.0, vl_suppressed=769.0"
FCT005,2023-11-30,R3,Viral load cascade relationship is invalid,"vl_eligible=491.0, vl_result_received=561.0, vl_suppressed=389.0"
NAS010,2022-02-28,R3,Viral load cascade relationship is invalid,"vl_eligible=3702.0, vl_result_received=2656.0, vl_suppressed=2701.0"
NAS015,2022-09-30,R3,Viral load cascade relationship is invalid,"vl_eligible=2624.0, vl_result_received=1677.0, vl_suppressed=1688.0"
AKS013,2022-10-31,R3,Viral load cascade relationship is invalid,"vl_eligible=442.0, vl_result_received=468.0, vl_suppressed=341.0"
NAS008,2023-09-30,R3,Viral load cascade relationship is invalid,"vl_eligible=666.0, vl_result_received=721.0, vl_suppressed=491.0"
FCT009,2022-06-30,R3,Viral load cascade relationship is invalid,"vl_eligible=327.0, vl_result_received=331.0, vl_suppressed=161.0"
KAD005,2023-08-31,R3,Viral load cascade relationship is invalid,"vl_eligible=246.0, vl_result_received=317.0, vl_suppressed=137.0"
RIV005,2022-05-31,R3,Viral load cascade relationship is invalid,"vl_eligible=1216.0, vl_result_received=1271.0, vl_suppressed=770.0"
LAG012,2024-01-31,R3,Viral load cascade relationship is invalid,"vl_eligible=447.0, vl_result_received=479.0, vl_suppressed=233.0"
AKS005,2024-05-31,R3,Viral load cascade relationship is invalid,"vl_eligible=786.0, vl_result_received=796.0, vl_suppressed=432.0"
KAD011,2024-04-30,R3,Viral load cascade relationship is invalid,"vl_eligible=424.0, vl_result_received=475.0, vl_suppressed=334.0"
NAS004,2024-12-31,R3,Viral load cascade relationship is invalid,"vl_eligible=517.0, vl_result_received=542.0, vl_suppressed=296.0"
KAD004,2024-12-31,R3,Viral load cascade relationship is invalid,"vl_eligible=4920.0, vl_result_received=4924.0, vl_suppressed=3569.0"
FCT011,2022-09-30,R3,Viral load cascade relationship is invalid,
AKS005,2023-06-30,R3,Viral load cascade relationship is invalid,"vl_eligible=984.0, vl_result_received=1027.0, vl_suppressed=570.0"
RIV007,2023-02-28,R3,Viral load cascade relationship is invalid,"vl_eligible=491.0, vl_result_received=415.0, vl_suppressed=422.0"
FCT003,2024-01-31,R4,tb_pos must be less than or equal to tb_screen,4376 > 4309.0
LAG012,2023-06-30,R4,tb_pos must be less than or equal to tb_screen,483 > 432.0
RIV001,2024-01-31,R4,tb_pos must be less than or equal to tb_screen,633 > 559.0
NAS009,2023-04-30,R4,tb_pos must be less than or equal to tb_screen,448 > 404.0
AKS011,2022-06-30,R4,tb_pos must be less than or equal to tb_screen,244 > 194.0
AKS003,2023-08-31,R4,tb_pos must be less than or equal to tb_screen,312 > 309.0
LAG011,2024-09-30,R4,tb_pos must be less than or equal to tb_screen,1347 > 1316.0
FCT005,2023-04-30,R4,tb_pos must be less than or equal to tb_screen,389 > 325.0
AKS002,2022-12-31,R4,tb_pos must be less than or equal to tb_screen,609 > 580.0
KAD006,2024-09-30,R4,tb_pos must be less than or equal to tb_screen,1044 > 1006.0
RIV010,2022-06-30,R5,Negative values are not allowed,{'tx_new': -27.0}
AKS009,2024-07-31,R5,Negative values are not allowed,{'tx_new': -39.0}
AKS005,2022-09-30,R5,Negative values are not allowed,{'tx_new': -4.0}
BEN015,2022-07-31,R5,Negative values are not allowed,{'tx_ml': -12.0}
LAG012,2024-07-31,R5,Negative values are not allowed,{'tx_new': -15.0}
TMP001,2022-11-30,R5,Negative values are not allowed,{'tx_new': -13.0}
NAS015,2023-08-31,R5,Negative values are not allowed,{'hts_tst': -35.0}
XXX999,2024-10-31,R5,Negative values are not allowed,{'hts_tst': -20.0}
FCT011,2024-11-30,R5,Negative values are not allowed,{'tx_new': -32.0}
BEN006,2024-02-01,R5,Negative values are not allowed,{'tx_new': -18.0}
AKS003,2023-05-31,R5,Negative values are not allowed,{'tx_ml': -31.0}
LAG010,2023-03-31,R5,Negative values are not allowed,{'tx_new': -27.0}
CRS011,2022-05-31,R5,Negative values are not allowed,{'tx_new': -2.0}
NAS013,2022-03-31,R5,Negative values are not allowed,{'tx_new': -19.0}
KAD006,2022-11-30,R5,Negative values are not allowed,{'tx_new': -39.0}
RIV001,2022-07-31,R5,Negative values are not allowed,{'tx_ml': -4.0}
RIV013,2024-02-29,R5,Negative values are not allowed,{'tx_ml': -26.0}
FCT001,2024-06-30,R5,Negative values are not allowed,{'tx_new': -33.0}
NAS007,2023-12-01,R5,Negative values are not allowed,{'tx_new': -34.0}
LAG099,2022-08-01,R5,Negative values are not allowed,{'tx_new': -39.0}
NAS010,2024-04-30,R5,Negative values are not allowed,{'tx_new': -3.0}
FCT001,2023-04-30,R5,Negative values are not allowed,{'hts_tst': -6.0}
FCT012,2024-03-31,R5,Negative values are not allowed,{'tx_new': -19.0}
KAD007,2022-07-31,R5,Negative values are not allowed,{'tx_new': -27.0}
FCT002,2023-09-30,R5,Negative values are not allowed,{'tx_new': -24.0}
AKS001,2023-09-30,R5,Negative values are not allowed,{'hts_tst': -24.0}
BEN015,2023-05-31,R5,Negative values are not allowed,{'tx_ml': -7.0}
NAS008,2022-06-30,R5,Negative values are not allowed,{'tx_new': -11.0}
NAS999,2024-01-31,R5,Negative values are not allowed,{'hts_tst': -24.0}
KAD013,2024-02-29,R5,Negative values are not allowed,{'tx_new': -11.0}
FCT007,2022-05-31,R5,Negative values are not allowed,{'tx_new': -10.0}
FCT012,2024-06-30,R5,Negative values are not allowed,{'tx_ml': -6.0}
FCT001,2022-03-31,R5,Negative values are not allowed,{'tx_ml': -2.0}
BEN005,2022-01-31,R5,Negative values are not allowed,{'tx_ml': -19.0}
KAD001,2024-04-30,R5,Negative values are not allowed,{'tx_ml': -3.0}
NAS005,2024-03-31,R5,Negative values are not allowed,{'tx_new': -21.0}
BEN003,2023-04-30,R5,Negative values are not allowed,{'hts_tst': -35.0}
CRS012,2022-10-31,R5,Negative values are not allowed,{'tx_new': -30.0}
FCT003,2024-04-30,R5,Negative values are not allowed,{'tx_ml': -21.0}
CRS004,2024-05-31,R5,Negative values are not allowed,{'tx_ml': -8.0}
CRS002,2024-12-31,R5,Negative values are not allowed,{'tx_new': -23.0}
AKS005,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS008,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2023-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
LAG003,2024-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",100.68%
NAS007,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT005,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",109.93%
RIV014,2023-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",101.97%
BEN012,2024-08-01,R6,"HTS positively yield must be between 0.1%, and 15%",107.52%
CRS010,2024-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS002,2024-02-29,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS005,2022-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV007,2022-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS999,2024-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",107.28%
KAD015,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",122.43%
RIV001,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV011,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",115.86%
AKS008,2022-03-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
KAD013,2022-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",103.08%
NAS008,2024-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2023-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS013,2022-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2024-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS004,2024-01-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS008,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS013,2024-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",121.26%
NAS014,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",102.78%
NAS001,2024-02-29,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2024-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2022-02-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS014,2023-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",100.27%
NAS001,2022-11-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS007,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2023-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS001,2023-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",119.39%
LAG099,2023-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2024-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2024-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2022-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
LAG008,2023-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT002,2024-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",111.11%
NAS008,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
BEN002,2023-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",101.76%
LAG012,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",113.25%
NAS001,2024-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",129.14%
RIV001,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
